Album_Name,Artist,Year_Released,Length,#_of_Songs
One Day Remains,Alter Bridge,2004,55:23:00,11
Blackbird,Alter Bridge,2007,59:17:00,13
AB III,Alter Bridge,2010,65:39:00,14
Fortress,Alter Bridge,2013,62:52:00,12
The Last Hero,Alter Bridge,2016,66:04:00,13
Walk The Sky,Alter Bridge,2019,60:20:00,14
Sounding the Seventh Trumpet,Avenged Sevenfold,2001,52:23:00,13
Waking the Fallen,Avenged Sevenfold,2003,68:45:00,12
City of Evil,Avenged Sevenfold,2005,72:43:00,11
Avenged Sevenfold,Avenged Sevenfold,2007,53:07:00,10
Nightmare,Avenged Sevenfold,2010,66:46:00,11
Hail to the King,Avenged Sevenfold,2013,53:27:00,10
The Stage,Avenged Sevenfold,2016,73:35:00,11
When Dreams and Day Unite,Dream Theater,1989,51:25:00,8
Images and Words,Dream Theater,1992,57:04:00,8
Awake,Dream Theater,1994,74:56:00,11
Falling into Infinity,Dream Theater,1997,78:12:00,11
Metropolis Pt.2: Scenes from a Memory,Dream Theater,1999,77:06:00,12
Six Degrees of Inner Turbulence,Dream Theater,2002,96:20:00,13
Train of Thought,Dream Theater,2003,69:21:00,7
Octavarium,Dream Theater,2005,75:44:00,8
Systematic Chaos,Dream Theater,2007,78:41:00,8
Black Clouds & Silver Linings,Dream Theater,2009,75:25:00,6
A Dramatic Turn of Events,Dream Theater,2011,77:01:00,9
Dream Theater,Dream Theater,2013,68:01:00,9
The Astonishing,Dream Theater,2016,130:23:00,34
Distance over Time,Dream Theater,2019,56:57:00,9
Take to the Skies,Enter Shikari,2007,52:43:00,17
Common Dreads,Enter Shikari,2009,50:27:00,15
A Flash Flood of Colour,Enter Shikari,2012,42:29:00,11
The Mindsweep,Enter Shikari,2015,44:42:00,12
The Spark,Enter Shikari,2017,40:36:00,11
Nothing is True & Everything is Possible,Enter Shikari,2020,43:43:00,15
Terra Incognita,Gojira,2001,66:49:00,14
The Link,Gojira,2003,46:58:00,11
From Mars to Sirius,Gojira,2005,71:15:00,13
The Way of all Flesh,Gojira,2008,75:07:00,12
L'enfant Sauvage,Gojira,2012,52:23:00,11
Magma,Gojira,2016,43:56:00,10
Kill 'Em All,Metallica,1983,51:20:00,10
Ride The Lightning,Metallica,1984,47:25:00,8
Master of Puppets,Metallica,1986,54:47:00,8
…And Justice for All,Metallica,1988,65:33:00,9
Metallica,Metallica,1991,62:40:00,12
Load,Metallica,1996,78:58:00,14
Reload,Metallica,1997,76:02:00,13
St. Anger,Metallica,2003,75:04:00,11
Death Magnetic,Metallica,2008,74:46:00,10
Hardwired… to Self-Destruct,Metallica,2016,77:42:00,12
Orchid,Opeth,1995,65:26:00,7
Morningrise,Opeth,1996,66:02:00,5
"My Arms, Your Hearse",Opeth,1998,53:13:00,9
Still Life,Opeth,1999,62:31:00,7
Blackwater Park,Opeth,2001,66:59:00,8
Deliverance,Opeth,2002,61:45:00,6
Damnation,Opeth,2003,43:03:00,8
Ghost Reveries,Opeth,2005,66:46:00,8
Watershed,Opeth,2008,54:56:00,7
Heritage,Opeth,2011,56:47:00,10
Pale Communion,Opeth,2014,56:00:00,8
Sorceress,Opeth,2016,56:35:00,11
In Cauda Venenum,Opeth,2019,67:57:00,10
Slipknot,Slipknot,1999,60:26:00,15
Iowa,Slipknot,2001,66:19:00,14
Vol. 3: (The Subliminal Verses),Slipknot,2004,60:09:00,14
All Hope is Gone,Slipknot,2008,57:57:00,12
.5: The Gray Chapter,Slipknot,2014,63:57:00,14
We Are Not Your Kind,Slipknot,2019,63:29:00,14
Stone Sour,Stone Sour,2002,50:57:00,13
Come What(ever) May,Stone Sour,2006,48:54:00,12
Audio Secrecy,Stone Sour,2010,54:23:00,14
House of Gold & Bones - Part 1,Stone Sour,2012,43:21:00,11
House of Gold & Bones - Part 2,Stone Sour,2013,50:46:00,12
Hydrograd,Stone Sour,2017,65:14:00,15
Undertow ,Tool,1993,69:13:00,10
Aenima,Tool,1996,77:18:00,15
Lateralus,Tool,2001,78:51:00,13
10000 Days,Tool,2006,75:45:00,11
Fear Inoculum,Tool,2019,86:38:00,10
